"","sector","country","value"
"369","C19","CHN",0.0447053390966269
"370","C20","CHN",0.0547030368211798
"371","C21","CHN",0.020351739055945
"372","C22","CHN",0.00319255196692601
"373","C23","CHN",0.00638342558623261
"374","C24","CHN",0.00117643958200774
"375","C25","CHN",0.000893039374585903
"376","C26","CHN",0.288305713037326
"377","C27","CHN",0.000118494548465771
"378","C28","CHN",0.0306346482576692
"379","C29","CHN",0.00646028760995966
"380","C30","CHN",0.0100546794652889
"381","C31","CHN",0.00159129096770728
"382","C32","CHN",0.000742394287407633
"383","C33","CHN",0.000851805938184068
"384","C34","CHN",0.000340663569121852
"385","C35","CHN",0.0247865877159492
"386","C36","CHN",2.6165914263009e-05
"387","C37","CHN",8.94925026024559e-06
"388","C38","CHN",0.0115124940822682
"389","C39","CHN",0.0130381675101968
"390","C40","CHN",0.0090051678472089
"391","C41","CHN",0.00588182120124256
"392","C42","CHN",0.0493282623229773
"393","C43","CHN",0.00275478176733295
"394","C44","CHN",0.00660978254361975
"395","C45","CHN",0.00159817480363346
"396","C46","CHN",0.00668515817009792
"397","C47","CHN",0.074469968947076
"398","C48","CHN",0.0557336227379324
"399","C49","CHN",0.0539598255498525
"400","C50","CHN",0.0251424859612735
"401","C01","CYP",0.0202182693146748
"402","C02","CYP",0.000664228297648339
"403","C03","CYP",5.29528050941225e-05
"404","C04","CYP",0.000585841117595648
"405","C05","CYP",0.0826401752595989
"406","C06","CYP",0.0271263925551982
"407","C07","CYP",0.00107399699901074
"408","C08","CYP",0.00431597270688325
"409","C09","CYP",0.000433915751813515
"410","C10","CYP",0.0346968277562297
"411","C11","CYP",0.0121135421733809
"412","C12","CYP",0.012458150545406
"413","C13","CYP",0.00271003103963774
"414","C14","CYP",0.00195187415111874
"415","C15","CYP",0.000709619011677378
"416","C16","CYP",0.00967558574381071
"417","C17","CYP",0.00609988708781727
"418","C18","CYP",0.00486028115857578
"419","C19","CYP",0.00807230919330042
"420","C20","CYP",0.0265023487065722
"421","C21","CYP",0.00991821063305413
"422","C22","CYP",0.0127679709634594
"423","C23","CYP",0.0216215272463037
"424","C24","CYP",0.00361594361473277
"425","C25","CYP",0.000256598129864017
"426","C26","CYP",0.0497176953306673
"427","C27","CYP",0.0130216257580252
