"","origin","destination","sector","value"
"240","AUS","HUN","C06",1.04962338447571
"241","AUS","IDN","C06",1.01305416941643
"242","AUS","IND","C06",1.06425621509552
"243","AUS","IRL","C06",1.04615887641907
"244","AUS","ITA","C06",1.05716213703155
"245","AUS","JPN","C06",1.03711978435516
"246","AUS","KOR","C06",1.04336514949799
"247","AUS","LTU","C06",1.05762890338898
"248","AUS","LUX","C06",1.05487915039063
"249","AUS","LVA","C06",1.06508836269379
"250","AUS","MEX","C06",1.04307181358337
"251","AUS","MLT","C06",1.08424248695373
"252","AUS","NLD","C06",1.04273837089539
"253","AUS","NOR","C06",1.01372869849205
"254","AUS","POL","C06",1.05025671958923
"255","AUS","PRT","C06",1.06523463726044
"256","AUS","ROU","C06",1.08049692153931
"257","AUS","ROW","C06",1.07014079835244
"258","AUS","RUS","C06",1.03938735961914
"259","AUS","SVK","C06",1.05214597702026
"260","AUS","SVN","C06",1.0711691570282
"261","AUS","SWE","C06",1.03841640233993
"262","AUS","TUR","C06",1.07503056526184
"263","AUS","TWN","C06",1.04536726474762
"264","AUS","USA","C06",1.01084896683693
"265","AUS","AUS","C07",1
"266","AUS","AUT","C07",1.02640869140625
"267","AUS","BEL","C07",1.04646827220917
"268","AUS","BGR","C07",1.02284638881683
"269","AUS","BRA","C07",1.04441736698151
"270","AUS","CAN","C07",1.02581623315811
"271","AUS","CHE","C07",1.04525713443756
"272","AUS","CHN","C07",1.03757795333862
"273","AUS","CYP","C07",1.045374584198
"274","AUS","CZE","C07",1.01511305809021
"275","AUS","DEU","C07",1.03753734588623
"276","AUS","DNK","C07",1.04086050987244
"277","AUS","ESP","C07",1.04106458187103
"278","AUS","EST","C07",1.01571273446083
"279","AUS","FIN","C07",1.01692325472832
"280","AUS","FRA","C07",1.03261670827865
"281","AUS","GBR","C07",1.03196961402893
"282","AUS","GRC","C07",1.04675013065338
"283","AUS","HRV","C07",1.04418995857239
"284","AUS","HUN","C07",1.03705054759979
"285","AUS","IDN","C07",1.00000199514325
"286","AUS","IND","C07",1.04370341300964
"287","AUS","IRL","C07",1.04645722866058
"288","AUS","ITA","C07",1.04551396369934
"289","AUS","JPN","C07",1.04383241176605
"290","AUS","KOR","C07",1.03920429944992
"291","AUS","LTU","C07",1.01712486028671
"292","AUS","LUX","C07",1.02834428548813
"293","AUS","LVA","C07",1.03987982749939
"294","AUS","MEX","C07",1.03688568353653
"295","AUS","MLT","C07",1.04800433158874
"296","AUS","NLD","C07",1.03496857404709
"297","AUS","NOR","C07",1.00100266821683
"298","AUS","POL","C07",1.03834378480911
"299","AUS","PRT","C07",1.02989288806915
"300","AUS","ROU","C07",1.03547261476517
"301","AUS","ROW","C07",1.02412521882188
"302","AUS","RUS","C07",1.04568270206451
"303","AUS","SVK","C07",1.0436386680603
"304","AUS","SVN","C07",1.04487805366516
"305","AUS","SWE","C07",1.01992462515831
"306","AUS","TUR","C07",1.04436770915985
"307","AUS","TWN","C07",1.03523232460022
"308","AUS","USA","C07",1.0000981990993
"309","AUS","AUS","C08",1
"310","AUS","AUT","C08",1.04102915287018
"311","AUS","BEL","C08",1.03021502256393
"312","AUS","BGR","C08",1.02726634502411
"313","AUS","BRA","C08",1.00365423053503
"314","AUS","CAN","C08",1.0164612531662
"315","AUS","CHE","C08",1.04247836589813
"316","AUS","CHN","C08",1.04054152488708
"317","AUS","CYP","C08",1.02249087810516
"318","AUS","CZE","C08",1.04282557964325
"319","AUS","DEU","C08",1.04053943157196
"320","AUS","DNK","C08",1.04760882377624
"321","AUS","ESP","C08",1.03338097095489
"322","AUS","EST","C08",1.04483762741089
"323","AUS","FIN","C08",1.04270800113678
"324","AUS","FRA","C08",1.03158482313156
"325","AUS","GBR","C08",1.03795605421066
"326","AUS","GRC","C08",1.04629568576813
"327","AUS","HRV","C08",1.05
"328","AUS","HUN","C08",1.04613351345062
"329","AUS","IDN","C08",1.00157850667834
"330","AUS","IND","C08",1.03819562911987
"331","AUS","IRL","C08",1.0456746006012
"332","AUS","ITA","C08",1.04395020484924
"333","AUS","JPN","C08",1.04380464553833
"334","AUS","KOR","C08",1.04205963611603
"335","AUS","LTU","C08",1.00980547428131
"336","AUS","LUX","C08",1.03076254844665
"337","AUS","LVA","C08",1.02743205070496
"338","AUS","MEX","C08",1.0436954498291
"339","AUS","MLT","C08",1.04353494644165
"340","AUS","NLD","C08",1.04160510540009
"341","AUS","NOR","C08",1.00756271898746
"342","AUS","POL","C08",1.04678912639618
"343","AUS","PRT","C08",1.03920593976974
"344","AUS","ROU","C08",1.04227746009827
"345","AUS","ROW","C08",1.03154687293662
"346","AUS","RUS","C08",1.027301466465
"347","AUS","SVK","C08",1.0465140247345
"348","AUS","SVN","C08",1.04414581775665
"349","AUS","SWE","C08",1.03439024686813
"350","AUS","TUR","C08",1.0477477312088
"351","AUS","TWN","C08",1.04066301345825
"352","AUS","USA","C08",1.00196294888854
"353","AUS","AUS","C09",1
"354","AUS","AUT","C09",1.02893845081329
"355","AUS","BEL","C09",1.02396776914597
"356","AUS","BGR","C09",1.04629943370819
"357","AUS","BRA","C09",1.01998016476631
"358","AUS","CAN","C09",1.03987946033478
"359","AUS","CHE","C09",1.01865272641182
"360","AUS","CHN","C09",1.04502986907959
"361","AUS","CYP","C09",1.02202673912048
"362","AUS","CZE","C09",1.04910255908966
"363","AUS","DEU","C09",1.04435643672943
"364","AUS","DNK","C09",1.04936923980713
"365","AUS","ESP","C09",1.03389644622803
"366","AUS","EST","C09",1.025
"367","AUS","FIN","C09",1.03987138748169
"368","AUS","FRA","C09",1.03986683368683
"369","AUS","GBR","C09",1.04138994693756
"370","AUS","GRC","C09",1.04985179901123
"371","AUS","HRV","C09",1.05
"372","AUS","HUN","C09",1.04989007472992
"373","AUS","IDN","C09",1.00626062572002
"374","AUS","IND","C09",1.03655519008637
"375","AUS","IRL","C09",1.04962074756622
"376","AUS","ITA","C09",1.04582590579987
"377","AUS","JPN","C09",1.04539448738098
"378","AUS","KOR","C09",1.0486388874054
"379","AUS","LTU","C09",1.04224080562592
"380","AUS","LUX","C09",1.04222954750061
"381","AUS","LVA","C09",1.04448833942413
"382","AUS","MEX","C09",1.04964214801788
"383","AUS","MLT","C09",1.02480000019074
"384","AUS","NLD","C09",1.04550345420837
"385","AUS","NOR","C09",1.04092266082764
"386","AUS","POL","C09",1.04856389045715
"387","AUS","PRT","C09",1.04618297576904
"388","AUS","ROU","C09",1.03736953496933
"389","AUS","ROW","C09",1.04216254589512
"390","AUS","RUS","C09",1.04070000171661
"391","AUS","SVK","C09",1.04988060951233
"392","AUS","SVN","C09",1.04916623592377
"393","AUS","SWE","C09",1.04457106113434
"394","AUS","TUR","C09",1.04968916416168
"395","AUS","TWN","C09",1.0477833032608
"396","AUS","USA","C09",1.00186072185636
"397","AUS","AUS","C10",1
"398","AUS","AUT","C10",1.00158284440637
"399","AUS","BEL","C10",1.00515495479107
"400","AUS","BGR","C10",1
"401","AUS","BRA","C10",1.00769729912281
"402","AUS","CAN","C10",1.00258488059044
"403","AUS","CHE","C10",1.00886946022511
"404","AUS","CHN","C10",1.00626445353031
"405","AUS","CYP","C10",1.00789064228535
"406","AUS","CZE","C10",1.0154806637764
"407","AUS","DEU","C10",1.00594621479511
"408","AUS","DNK","C10",1.00011278855614
"409","AUS","ESP","C10",1.00330047994852
"410","AUS","EST","C10",1
"411","AUS","FIN","C10",1.00860854029655
"412","AUS","FRA","C10",1.0037660163641
"413","AUS","GBR","C10",1.00837056934834
"414","AUS","GRC","C10",1.01354041099548
"415","AUS","HRV","C10",1
"416","AUS","HUN","C10",1
