"","sector","country","value"
"75","C25","AUT",0.393331636417402
"76","C26","AUT",0.406918865969485
"77","C27","AUT",0.520402674324342
"78","C28","AUT",0.565116845030821
"79","C29","AUT",0.631860929542136
"80","C30","AUT",0.543915556804242
"81","C31","AUT",0.35926034202354
"82","C32","AUT",0.136538747963375
"83","C33","AUT",0.603369453806036
"84","C34","AUT",0.533887319363656
"85","C35","AUT",0.64079016612556
"86","C36","AUT",0.369635881209881
"87","C37","AUT",0.406106593306591
"88","C38","AUT",0.415439287640287
"89","C39","AUT",0.50506996674163
"90","C40","AUT",0.595925119162297
"91","C41","AUT",0.438029465332164
"92","C42","AUT",0.682330299528287
"93","C43","AUT",0.525595480945392
"94","C44","AUT",0.462608309204912
"95","C45","AUT",0.537678945054742
"96","C46","AUT",0.63899754237968
"97","C47","AUT",0.695971972627773
"98","C48","AUT",0.840568490752452
"99","C49","AUT",0.714328576337192
"100","C50","AUT",0.674457032899473
"101","C01","BEL",0.323262721542174
"102","C02","BEL",0.240612531697921
"103","C03","BEL",0.443766680777236
"104","C04","BEL",0.379958679751586
"105","C05","BEL",0.210017928960379
"106","C06","BEL",0.308407834302101
"107","C07","BEL",0.259486581137887
"108","C08","BEL",0.245690960947016
"109","C09","BEL",0.351474380140493
"110","C10","BEL",0.0725528920669204
"111","C11","BEL",0.263746535450648
"112","C12","BEL",0.440493393520575
"113","C13","BEL",0.388618650999231
"114","C14","BEL",0.324578468881451
"115","C15","BEL",0.159721908482749
"116","C16","BEL",0.342806445509411
"117","C17","BEL",0.403948757613412
"118","C18","BEL",0.388869253280657
"119","C19","BEL",0.399034739128297
"120","C20","BEL",0.212726787581065
"121","C21","BEL",0.404940798344657
"122","C22","BEL",0.376159254368103
"123","C23","BEL",0.43066909950071
"124","C24","BEL",0.394861127031812
"125","C25","BEL",0.295056713931515
"126","C26","BEL",0.313279995692038
"127","C27","BEL",0.531804164914552
"128","C28","BEL",0.457453333236139
"129","C29","BEL",0.605021549768046
"130","C30","BEL",0.418035269923082
"131","C31","BEL",0.210822934812386
"132","C32","BEL",0.148078068012091
"133","C33","BEL",0.406985709449365
"134","C34","BEL",0.596388190190198
"135","C35","BEL",0.450753822135651
"136","C36","BEL",0.370426890764372
"137","C37","BEL",0.472312022375496
"138","C38","BEL",0.428426914442273
"139","C39","BEL",0.489440430577133
"140","C40","BEL",0.585118502703135
"141","C41","BEL",0.469019209894128
"142","C42","BEL",0.696209697883735
"143","C43","BEL",0.558842180325355
"144","C44","BEL",0.34691054553926
"145","C45","BEL",0.495276867503309
"146","C46","BEL",0.511361801651422
"147","C47","BEL",0.764435167924538
"148","C48","BEL",0.870761425538877
"149","C49","BEL",0.627763528028401
"150","C50","BEL",0.480648602975318
"151","C01","BGR",0.424824079498428
"152","C02","BGR",0.54086439100797
"153","C03","BGR",0.500510081644967
"154","C04","BGR",0.654002672782796
"155","C05","BGR",0.319159401028659
"156","C06","BGR",0.401685691696
"157","C07","BGR",0.267154741219846
"158","C08","BGR",0.29133656978687
"159","C09","BGR",0.328612662171817
"160","C10","BGR",0.0890613795205007
"161","C11","BGR",0.292059004000416
"162","C12","BGR",0.374918135790145
"163","C13","BGR",0.245409930651519
"164","C14","BGR",0.0890613795205008
"165","C15","BGR",0.112056279127238
"166","C16","BGR",0.354466811689356
"167","C17","BGR",0.439234716850713
"168","C18","BGR",0.240318664563571
"169","C19","BGR",0.358172576237612
"170","C20","BGR",0.267272715894936
"171","C21","BGR",0.248026150695753
"172","C22","BGR",0.351687872750413
"173","C23","BGR",0.409407900703066
"174","C24","BGR",0.632753167598822
"175","C25","BGR",0.404973740333414
"176","C26","BGR",0.22938911508868
"177","C27","BGR",0.512743177429932
"178","C28","BGR",0.482897942477022
"179","C29","BGR",0.539388461162523
"180","C30","BGR",0.35055517800481
"181","C31","BGR",0.59863186245297
"182","C32","BGR",0.234201328639358
"183","C33","BGR",0.356549196319406
"184","C34","BGR",0.43462394594175
"185","C35","BGR",0.509492173982153
"186","C36","BGR",0.461144580295354
"187","C37","BGR",0.509418957449597
"188","C38","BGR",0.566319705874704
"189","C39","BGR",0.584223380563413
"190","C40","BGR",0.744749753354423
"191","C41","BGR",0.537539152801327
"192","C42","BGR",0.760775157626082
"193","C43","BGR",0.463300971588041
"194","C44","BGR",0.374843216427272
"195","C45","BGR",0.729236861929339
"196","C46","BGR",0.425045458246789
"197","C47","BGR",0.751498063109186
"198","C48","BGR",0.733374582578339
"199","C49","BGR",0.57607639673431
"200","C50","BGR",0.3894072741474
"201","C01","BRA",0.622591695364916
"202","C02","BRA",0.772941828790425
"203","C03","BRA",0.77294182949322
"204","C04","BRA",0.657906673916163
"205","C05","BRA",0.247282102011455
"206","C06","BRA",0.442894766132666
"207","C07","BRA",0.452892243549944
"208","C08","BRA",0.334240751505416
"209","C09","BRA",0.504768506463707
"210","C10","BRA",0.0258655718454912
"211","C11","BRA",0.258515322772714
"212","C12","BRA",0.496782495976725
"213","C13","BRA",0.343228937575911
"214","C14","BRA",0.39757864895992
"215","C15","BRA",0.27637465782841
"216","C16","BRA",0.427682989401094
"217","C17","BRA",0.312761341381659
"218","C18","BRA",0.334758481949924
"219","C19","BRA",0.357439389009633
"220","C20","BRA",0.294571656828918
"221","C21","BRA",0.367992770683748
"222","C22","BRA",0.492344806056836
"223","C23","BRA",0.386288432528291
"224","C24","BRA",0.660556790197981
"225","C25","BRA",1
"226","C26","BRA",0.511544593781992
