"","country","sector","value"
"185","BGR","C35",2554.89515800555
"186","BGR","C36",324.554755886819
"187","BGR","C37",566.051983278483
"188","BGR","C38",2259.93783363232
"189","BGR","C39",1138.40948790387
"190","BGR","C40",3686.66242513973
"191","BGR","C41",1351.86220232068
"192","BGR","C42",6681.91935729978
"193","BGR","C43",1207.92161578932
"194","BGR","C44",2175.95972435954
"195","BGR","C45",358.110195170118
"196","BGR","C46",2468.65803712393
"197","BGR","C47",4738.30439919918
"198","BGR","C48",2840.78675486055
"199","BGR","C49",3177.2834941931
"200","BGR","C50",3379.29779718237
"201","BRA","C01",136018.671270013
"202","BRA","C02",8901.89545221132
"203","BRA","C03",4672.74933590664
"204","BRA","C04",101949.349112004
"205","BRA","C05",211845.482941849
"206","BRA","C06",67605.9627964629
"207","BRA","C07",9190.15883575007
"208","BRA","C08",23574.3599335106
"209","BRA","C09",9589.33883209013
"210","BRA","C10",152593.699170114
"211","BRA","C11",134241.582699915
"212","BRA","C12",28850.1014221977
"213","BRA","C13",46201.3798290304
"214","BRA","C14",37260.4498080027
"215","BRA","C15",56382.2691301138
"216","BRA","C16",43763.9431962806
"217","BRA","C17",64524.3452380465
"218","BRA","C18",37106.5934938953
"219","BRA","C19",71690.6359201662
"220","BRA","C20",130621.434117939
"221","BRA","C21",23097.271566034
"222","BRA","C22",50598.4805417358
"223","BRA","C23",77819.0387475992
"224","BRA","C24",23799.8016512687
"225","BRA","C25",157.464767004947
"226","BRA","C26",295746.999619129
"227","BRA","C27",61439.2618824986
"228","BRA","C28",147880.226739865
"229","BRA","C29",212146.621013761
"230","BRA","C30",131734.39262659
"231","BRA","C31",6421.86529323275
"232","BRA","C32",17530.130143523
"233","BRA","C33",44919.6304578233
"234","BRA","C34",105.819689969008
"235","BRA","C35",105063.940737722
"236","BRA","C36",10164.5208588392
"237","BRA","C37",18219.9588164544
"238","BRA","C38",72466.4814486974
"239","BRA","C39",49517.5331329896
"240","BRA","C40",228879.115277246
"241","BRA","C41",290.5597473877
"242","BRA","C42",213161.742355884
"243","BRA","C43",72550.2714897867
"244","BRA","C44",31885.2542507279
"245","BRA","C45",37323.5378411905
"246","BRA","C46",135014.656477743
"247","BRA","C47",295224.467191589
"248","BRA","C48",157632.688182832
"249","BRA","C49",142675.186011316
"250","BRA","C50",101684.05126691
"251","CAN","C01",44822.9289405209
"252","CAN","C02",13166.7988141921
"253","CAN","C03",4804.22894095457
"254","CAN","C04",103562.126373497
"255","CAN","C05",108569.414557868
"256","CAN","C06",25892.2081777884
"257","CAN","C07",13849.4511127435
"258","CAN","C08",26024.0848410407
"259","CAN","C09",12808.7154005242
"260","CAN","C10",83998.0729478999
"261","CAN","C11",32538.4385895186
"262","CAN","C12",24317.8269053848
"263","CAN","C13",34436.0838279327
"264","CAN","C14",19804.0510773586
"265","CAN","C15",40499.4464293133
"266","CAN","C16",41092.1135442311
"267","CAN","C17",53410.9087623688
"268","CAN","C18",20092.512138066
"269","CAN","C19",50350.7858761951
"270","CAN","C20",90865.2494669836
"271","CAN","C21",32384.969647787
"272","CAN","C22",54462.2215827257
"273","CAN","C23",47791.7642551062
"274","CAN","C24",24.1983684935696
"275","CAN","C25",10005.7863632143
"276","CAN","C26",288066.922012567
"277","CAN","C27",89714.3777367549
"278","CAN","C28",120896.564858078
"279","CAN","C29",102649.440638819
"280","CAN","C30",95672.1596589481
"281","CAN","C31",4363.45813287774
"282","CAN","C32",21435.0750200849
"283","CAN","C33",21419.5702098683
"284","CAN","C34",12851.3530134026
"285","CAN","C35",65466.6967349342
"286","CAN","C36",5034.48539771309
"287","CAN","C37",17862.5710021175
"288","CAN","C38",53001.7903641952
"289","CAN","C39",46262.0874390492
"290","CAN","C40",131300.443828191
"291","CAN","C41",52551.6816588036
"292","CAN","C42",251255.829339967
"293","CAN","C43",39049.7959513963
"294","CAN","C44",101572.250868937
"295","CAN","C45",19965.7852636673
"296","CAN","C46",104390.621922762
"297","CAN","C47",276451.95840775
"298","CAN","C48",111841.50380587
"299","CAN","C49",148867.754181207
"300","CAN","C50",66647.4213955111
"301","CHE","C01",15018.475088398
"302","CHE","C02",1041.17253516351
"303","CHE","C03",68.3114613484675
"304","CHE","C04",5851.59179420723
"305","CHE","C05",39189.598896226
"306","CHE","C06",10353.92622184
"307","CHE","C07",10641.6861771169
"308","CHE","C08",4684.10759638508
"309","CHE","C09",4056.55492505808
"310","CHE","C10",5551.32892716672
"311","CHE","C11",22933.7807018285
"312","CHE","C12",49120.9537827533
"313","CHE","C13",10143.8314469617
"314","CHE","C14",9317.99205496019
"315","CHE","C15",10165.1828000532
"316","CHE","C16",20811.7279494012
"317","CHE","C17",53760.7426389869
"318","CHE","C18",21703.0066924791
"319","CHE","C19",31965.1250699257
"320","CHE","C20",13439.4409653722
"321","CHE","C21",5907.55500378889
"322","CHE","C22",8808.7973275542
"323","CHE","C23",44075.2702652314
"324","CHE","C24",6115.67603013349
"325","CHE","C25",221.190915351574
"326","CHE","C26",84334.6916065001
"327","CHE","C27",14762.1076626433
"328","CHE","C28",97251.3718363847
"329","CHE","C29",41134.0066487734
"330","CHE","C30",39192.7818869504
"331","CHE","C31",1025.52736745106
